"name","approx_cost(for two people)","online_order","book_table","rest_type","listed_in(type)","listed_in(city)","dish_liked","cuisines","rate"
"Jalsa",800,1,1,"Casual Dining","Buffet","Banashankari","Pasta, Lunch Buffet, Masala Papad, Paneer Lajawab, Tomato Shorba, Dum Biryani, Sweet Corn Soup","North Indian, Mughlai, Chinese","4"
"Spice Elephant",800,1,0,"Casual Dining","Buffet","Banashankari","Momos, Lunch Buffet, Chocolate Nirvana, Thai Green Curry, Paneer Tikka, Dum Biryani, Chicken Biryani","Chinese, North Indian, Thai","4"
"San Churro Cafe",800,1,0,"Cafe, Casual Dining","Buffet","Banashankari","Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza","Cafe, Mexican, Italian","4"
"Addhuri Udupi Bhojana",300,0,0,"Quick Bites","Buffet","Banashankari","Masala Dosa","South Indian, North Indian","4"
"Grand Village",600,0,0,"Casual Dining","Buffet","Banashankari","Panipuri, Gol Gappe","North Indian, Rajasthani","4"
"Timepass Dinner",600,1,0,"Casual Dining","Buffet","Banashankari","Onion Rings, Pasta, Kadhai Paneer, Salads, Salad, Roti, Jeera Rice","North Indian","4"
"Onesta",600,1,1,"Casual Dining, Cafe","Cafes","Banashankari","Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza","Pizza, Cafe, Italian","5"
"Penthouse Cafe",700,1,0,"Cafe","Cafes","Banashankari","Pizza, Mocktails, Coffee, Nachos, Salad, Pasta, Sandwiches","Cafe, Italian, Continental","4"
"Smacznego",550,1,0,"Cafe","Cafes","Banashankari","Waffles, Pasta, Coleslaw Sandwich, Choco Waffle, Tacos, Momos, Cheese Nachos","Cafe, Mexican, Italian, Momos, Beverages","4"
"Down The Alley",500,1,0,"Cafe","Cafes","Banashankari","Waffles, Pasta, Crispy Chicken, Honey Chilli Chicken, Sandwich, Coffee, Crepe","Cafe","4"
"Cafe Shuffle",600,1,1,"Cafe","Cafes","Banashankari","Mocktails, Peri Fries, Lasagne, Pizza, Chicken Bbq Wings, Virgin Mojito, Nachos","Cafe, Italian, Continental","4"
"The Coffee Shack",500,1,1,"Cafe","Cafes","Banashankari","Coffee, Spaghetti, Pancakes, Nachos, Pasta, Sandwich, Garlic Bread","Cafe, Chinese, Continental, Italian","4"
"Caf-Eleven",450,0,0,"Cafe","Cafes","Banashankari","Sandwich, Omelette, Ice Tea, Virgin Mojito, Hot Chocolate, Pasta Arrabiata, Hazelnut Cappuccino","Cafe, Continental","4"
"San Churro Cafe",800,1,0,"Cafe, Casual Dining","Cafes","Banashankari","Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza","Cafe, Mexican, Italian","4"
"Cafe Vivacity",650,1,0,"Cafe","Cafes","Banashankari","Garlic Bread, Burgers, Sandwiches, Pizza, Hot Chocolate Fudge, Waffles, Potato Wedges","Cafe","4"
"Catch-up-ino",800,1,0,"Cafe","Cafes","Banashankari","Momos, Mushroom Bruschettas, Jalapeno Cheeseballs, Pasta, Red Velvet Shake, Red Velvet Milkshake, Maggi","Cafe, Fast Food, Continental, Chinese, Momos","4"
"Kirthi's Biryani",700,1,0,"Cafe","Cafes","Banashankari","Pasta, Gelato, Garlic Bread, Mojito, Nachos, Paneer Pizza, Mocktails","Chinese, Cafe, Italian","4"
"T3H Cafe",300,0,0,"Cafe","Cafes","Banashankari","Cheese Maggi, Peri Peri Fries, Pasta Arrabiata","Cafe, Italian, American","4"
"The Vintage Cafe",400,1,0,"Cafe","Cafes","Banashankari","Burgers, Caramel Milkshake, Iced Coffee, Iced Tea","Cafe, French, North Indian","3"
"Woodee Pizza",500,1,0,"Cafe","Cafes","Banashankari","Pizza, Garlic Bread","Cafe, Pizza, Fast Food, Beverages","4"
"My Tea House",600,1,0,"Quick Bites, Cafe","Cafes","Banashankari","Pasta, Iced Tea","Italian, Fast Food, Cafe, European","4"
"Srinathji's Cafe",550,0,0,"Casual Dining, Cafe","Cafes","Banashankari","Paratha, Sandwich, Chilli Idli, Noodles, Sandwiches, Lime Soda","North Indian, Cafe, Chinese, Fast Food","4"
"Redberrys",600,1,0,"Cafe","Cafes","Banashankari","Pizza, Fries, Anjeer Ice Cream, Sandwiches, Gelato, Burgers, Kesar Badam","Cafe, Italian","4"
"Foodiction",500,1,0,"Quick Bites","Delivery","Banashankari","Burgers, Lassi, Chicken Grill, Naan, Momos, Chicken Burger, Biryani","North Indian, Fast Food, Chinese, Burger","3"
"Ovenstory Pizza",750,1,0,"Delivery","Delivery","Banashankari","Paneer Tikka, Garlic Bread, Thin Crust Pizza, Falafel, Veggie Pizza","Pizza","4"
"Faasos",500,1,0,"Quick Bites","Delivery","Banashankari","Rolls, Veggie Wrap, Chocolate Fantasy, Rice Bowls, Chicken Rice, Paneer Makhanwala, Chicken Tikka Wrap","North Indian, Biryani, Fast Food","4"
"Behrouz Biryani",650,1,0,"Delivery","Delivery","Banashankari","Raita, Gulab Jamun, Paneer Biryani, Vegetable Biryani, Gosht Dum Biryani, Chicken Biryani, Murgh Biryani","Biryani","4"
"Szechuan Dragon",600,1,0,"Casual Dining","Delivery","Banashankari","Noodles, Momos, Veg Manchow Soup, Kung Pao Chicken, Chicken Lollipop, Chop Suey, Dragon Chicken","Chinese, Thai, Momos","4"
"Empire Restaurant",750,1,0,"Casual Dining","Delivery","Banashankari","Chicken Tikka Masala, Mutton Keema Dosa, Mutton Biryani, Raan Biryani, Brain Fry, Chicken Grill, Ghee Rice","North Indian, Mughlai, South Indian, Chinese","4"
"Chaatimes",200,1,0,"Quick Bites","Delivery","Banashankari","Dabeli, Faluda, Masala Poori, Sandwiches, Tokri Chaat, Pav Bhaji, Dahipuri","Street Food, Fast Food","4"
"McDonald's",500,1,0,"Quick Bites","Delivery","Banashankari","Burgers, Fries, Hot Chocolate","Burger, Fast Food","4"
"Domino's Pizza",800,1,0,"Quick Bites","Delivery","Banashankari","Pane Pizza, Lava Cake, Pasta, Stuffed Garlic Bread, Chocolava Cake, Tacos","Pizza, Fast Food","4"
"Onesta",600,1,1,"Casual Dining, Cafe","Delivery","Banashankari","Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza","Pizza, Cafe, Italian","5"
"Hotboxit",400,0,0,"Delivery","Delivery","Banashankari","Prompt Service","North Indian, Continental, Italian","4"
"Kitchen Garden",300,1,0,"Quick Bites","Delivery","Banashankari","Biryani","North Indian, Chinese","4"
"Recipe",450,1,0,"Casual Dining","Delivery","Banashankari","Butter Chicken, Noodles, Thali, Biryani","North Indian, Chinese, Biryani, Rolls","4"
"Beijing Bites",850,1,0,"Casual Dining","Delivery","Banashankari","Momos, Dragon Chicken, Hakka Noodles, Chowmein, Chop Suey, Chilli Garlic Noodles, Garlic Rice","Chinese, Thai","4"
"Tasty Bytes",300,1,0,"Quick Bites","Delivery","Banashankari","Paratha, Pasta","North Indian, Chinese, Momos, Rolls","3"
"Corner House Ice Cream",400,0,0,"Dessert Parlor","Delivery","Banashankari","Hot Chocolate Fudge, Vanilla Ice Cream, Fudge Cake, Chocolate Mousse","Ice Cream, Desserts","4"
"Biryanis And More",750,1,0,"Casual Dining","Delivery","Banashankari","Prawn Biryani, Dragon Chicken, Chicken Boneless Biryani, Afghani Biryani, Mughlai Biryani, Paneer Tikka Biryani, Gongura Biryani","Biryani, North Indian, Chinese, Andhra, South Indian","4"
"Roving Feast",450,0,0,"Quick Bites","Delivery","Banashankari","Pasta, Momos, Rolls, Chicken Roll, Chilli Chicken, Paneer Roll, Spaghetti","Italian, Continental, Fast Food, Chinese, Momos","4"
"FreshMenu",450,1,0,"Delivery","Delivery","Banashankari","Salads, Sandwiches, Salad, Thai Rice, Pasta, Noodles, Pizza","Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger","4"
"Wamama",800,1,1,"Casual Dining","Delivery","Banashankari","Sushi, Noodles, Wine, Khau Suey, Mocktails, Yakisoba, Spring Roll","Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos","4"
"Peppy Peppers",800,0,0,"Casual Dining","Delivery","Banashankari","Pasta, Pepper Pizza, Paneer Pizza, Peppy Paneer, Nachos, Supreme Pizza, Manchow Soup","Italian, North Indian, Mexican","4"
"Goa 0 Km",800,1,1,"Casual Dining","Delivery","Banashankari","Sea Food, Crab Meat, Crab Soup, Fish Curry, Chicken Cafreal, Butter Naan, Butter Chicken","Goan, Seafood, North Indian, Chinese, Biryani","4"
"1947",850,0,1,"Casual Dining","Delivery","Banashankari","Salads, Panneer Butter Masala, Rabri, Gajar Ka Halwa, Manchow Soup, Aam Panna, Tomato Basil Soup","North Indian, Chinese","4"
"Kabab Magic",400,1,0,"Quick Bites","Delivery","Banashankari","Grape Juice, Chicken Grill, Chicken Tikka Roll, Shawarma Roll, Chicken Shawarama, Biryani Combo, Rolls","North Indian, Kebab, Chinese, Fast Food","4"
"Gustoes Beer House",1200,0,0,"Pub","Delivery","Banashankari","Beer, Wedges, Pizza, Nachos, Salads, Papaya Salad, Buffalo Wings","Continental, Italian, Mexican, North Indian, Chinese, Steak","4"
"The Biryani Cafe",300,0,0,"Quick Bites","Delivery","Banashankari","Vegetable Biryani, Ginger Chicken, Chicken Biryani, Donne Biryani, Chicken Kebab, Egg Bhurji, Dum Biryani","Biryani, Chinese, Kebab","4"
"Rolls On Wheels",300,0,0,"Quick Bites","Delivery","Banashankari","Rolls, Momos, Fries, Veggie Roll, Chicken Kebab Roll, Paneer Roll, Cheese Roll","Fast Food, Rolls, Momos","4"
"Sri Guru Kottureshwara Davangere Benne Dosa",150,1,0,"Quick Bites","Delivery","Banashankari","Benne Dosa, Mirchi Bajji, Filter Coffee, Poha, Tea, Butter Dosa, Crispy Dosa","South Indian","4"
"Upahar Sagar",350,0,0,"Quick Bites","Delivery","Banashankari","Masala Dosa","South Indian, Chinese, North Indian","4"
"Frozen Bottle",400,1,0,"Beverage Shop","Delivery","Banashankari","Berryblast, Waffles, Cheesecake, Salted Caramel","Beverages, Desserts, Ice Cream","4"
"Meghana Foods",600,1,0,"Casual Dining","Delivery","Banashankari","Chicken Boneless Biryani, Hyderabadi Biryani, Paneer Biryani, Tandoori Chicken, Vegetable Biryani, Chicken Kebab, Raita","Biryani, North Indian, Chinese","4"
"Nandhini Deluxe",600,0,0,"Casual Dining","Delivery","Banashankari","Biryani, Chicken Guntur, Thali, Buttermilk, Manchurian","North Indian","3"
"Vi Ra's Bar and Restaurant",800,0,0,"Bar","Delivery","Banashankari","Chilli Chicken","South Indian, North Indian, Chinese","3"
"Chatar Patar",300,0,0,"Quick Bites","Delivery","Banashankari","Panipuri, Chaat, Noodles, Dahi Bhalle","Fast Food, Street Food","4"
"Polar Bear",400,1,0,"Dessert Parlor","Delivery","Banashankari","Hot Chocolate Fudge","Ice Cream, Desserts, Beverages, Sandwich","4"
"Kidambi's Kitchen",300,0,0,"Quick Bites","Delivery","Banashankari","Rooftop Ambience","South Indian","4"
"Mane Thindi",200,0,0,"Quick Bites","Delivery","Banashankari","Coffee, Tea, Kesari Bath, Open Dosa, Vada, Idli, Bread Dosa","South Indian","4"
"Floured-Baked With Love",400,0,0,"Takeaway, Delivery","Delivery","Banashankari","Cup Cake, Chocolate Cake","Bakery","4"
"Bengaluru Coffee House",300,1,0,"Quick Bites","Delivery","Banashankari","Masala Dosa, Tirupathi Pongal, Filter Coffee, Vada, Kharabath, Kali Dosa, Rava Idli","South Indian, North Indian, Chinese, Street Food","4"
"Anna Kuteera",450,1,0,"Casual Dining","Delivery","Banashankari","Panner Tikka, Kulfi, Coffee, Pav Bhaji, Carrot Halwa, Fried Rice, Set Dosa","South Indian, North Indian, Chinese","4"
"Darbar",800,0,0,"Bar","Delivery","Banashankari","Paneer Tikka, Dal Kichadi, French Fries","North Indian, Chinese","3"
"Sri Udupi Food Hub",500,1,1,"Casual Dining","Delivery","Banashankari","Filter Coffee, Masala Dosa, Idli, Vada","South Indian, North Indian, Chinese, Beverages","4"
"House Of Kebabs",650,1,0,"Casual Dining","Delivery","Banashankari","Rolls, Shawarma, Butter Chicken, Mutton Biryani, Lahori Chicken, Chicken Roll, Grape Juice","North Indian, Kebab, Biryani, Chinese","4"
"Roll N Rock",400,1,0,"Quick Bites","Delivery","Banashankari","Rolls, Paratha, Chicken Biryani","Chinese, North Indian, Mughlai, Rolls","4"
"BOX8- Desi Meals",500,1,0,"Takeaway, Delivery","Delivery","Banashankari","Paratha, Mughlai Chicken, Masala Lemonade, Butter Chicken, Rajma, Sandwich, Salad","North Indian, Mughlai, Fast Food","4"
"KFC",450,1,0,"Quick Bites","Delivery","Banashankari","Burgers, French Fries","Burger, Fast Food","4"
"Roll Over",500,1,0,"Dessert Parlor","Delivery","Banashankari","Rolls, Ice Cream Roll, Paan Ice Cream, Coffee, Vanilla Ice Cream, Chocolate Icecreams, Mississippi Mudpie","Desserts, Ice Cream, Beverages, Fast Food, Sandwich","4"
"Imperial Restaurant",750,1,0,"Casual Dining","Delivery","Banashankari","Kadhai Paneer, Ghee Rice, Chicken Grill, Shawarma, Paratha, Biryani, Butter Chicken","North Indian, Chinese, Biryani, Beverages","4"
"Wahab",350,1,0,"Quick Bites","Delivery","Banashankari","Chicken Biryani, Rolls","North Indian, Mughlai, Chinese","4"
"Canton",800,1,0,"Casual Dining","Delivery","Banashankari","Roast Pork, Tai Pai Chicken, Beer, Sweet Corn Chicken Soup, Masala Peanuts, Chinese Chop Suey, Chicken Lollipop","Chinese, Seafood, Biryani","4"
"The Blue Wagon - Kitchen",400,1,0,"Cafe","Delivery","Banashankari","Pizza, Nachos, Garlic Maggi, Burgers, Cheese Maggi, Bruschetta Bites, Sandwich","Cafe, Beverages","5"
"Patio 805",1200,1,1,"Casual Dining","Delivery","Banashankari","Noodles, Laksa Soup, Coffee, Veg Fritters, Vegetarian, Babycorn Manchurian, Mango Salad","Thai, Vietnamese, Asian, Chinese","4"
"Lassi Corner",150,1,0,"Beverage Shop","Delivery","Banashankari","Lassi","Beverages, Ice Cream","4"
"Sagar Deluxe",300,1,0,"Quick Bites","Delivery","Banashankari","Coffee, Chaat","South Indian, North Indian, Chinese, Juices","3"
"Energy Addaa",500,1,0,"Quick Bites","Delivery","Banashankari","Pizza, Nachos, Salads, Peri Peri Fries, Brownie, Pasta Alfredo, Spaghetti","Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza","4"
"Tandoori Knight",450,1,0,"Quick Bites","Delivery","Banashankari","Chicken Grill, Biryani, Roti, Chicken Masala","North Indian, Chinese, Biryani, Kebab","3"
"Dev Sagar - Food Street",200,1,0,"Quick Bites","Delivery","Banashankari","Chaat, Pav Bhaji, Dabeli, Vada Pav, Tawa Pulav, Panipuri, Malpua","Street Food","4"
"Mitraa Da Pizza",250,1,0,"Quick Bites","Delivery","Banashankari","Pizza, Burgers","Fast Food, Pizza","4"
"Grazers",650,1,1,"Cafe","Delivery","Banashankari","Burgers, Panneer Butter Masala, Pasta, Hot Dog, Fries, Cheesy Pizza, Potato Wedges","Cafe, Burger, Continental, Italian, Desserts","4"
"Shakes Theory",300,1,0,"Beverage Shop","Delivery","Banashankari","Sandwiches, Thick Shakes, Paan Shake, Brownie Bomb, Fries, Spinach Corn Sandwich, Paneer Peri Peri","Beverages, Sandwich","5"
"@Italy",700,1,0,"Casual Dining","Delivery","Banashankari","Pizza, Pasta, Spinach Salsa, Garlic Bread, Lasagne, Bruschettas, Chocolate Bomb","Italian","4"
"Old Mumbai Ice Cream",150,1,0,"Dessert Parlor","Delivery","Banashankari","Friendly Staff","Ice Cream","4"
"Donne Biriyani House",400,1,0,"Quick Bites","Delivery","Banashankari","Biryani","South Indian, North Indian, Chinese, Biryani","4"
"Kedia's Fun Food",200,1,0,"Quick Bites","Delivery","Banashankari","Paratha, Vada Pav, Chaat, Pav Bhaji, Panipuri, Masala Poori, Dhokla","North Indian, Street Food, Juices","4"
"Just Shawarma",300,1,0,"Quick Bites","Delivery","Banashankari","Whole Meat Shawarma, Fries","Arabian","4"
"Mini Punjabi Dhaba",350,1,0,"Quick Bites","Delivery","Banashankari","Panneer Butter Masala, Lassi, Paratha, Jeera Rice, Paneer Parantha, Bhindi Fry, Veg Kolhapuri","North Indian","4"
"Down The Alley",500,1,0,"Cafe","Delivery","Banashankari","Waffles, Pasta, Crispy Chicken, Honey Chilli Chicken, Sandwich, Coffee, Crepe","Cafe","4"
"Gokul Veg",750,1,0,"Casual Dining","Delivery","Banashankari","Masala Papad, Paneer Satay, Vegetable Biryani, Panneer Butter Masala, Tomato Soup, Manchow Soup, Roti","North Indian, Chinese, Beverages","4"
"Olive - Era",550,1,0,"Casual Dining","Delivery","Banashankari","Shawarma, Biryani, Bbq Chicken, Chicken Grill, Raita","BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts","3"
"Gama Gama",200,1,0,"Quick Bites","Delivery","Banashankari","Jowar Roti, Buttermilk, Sabudana Vada, Thali, Mirchi Bajji, Brinjal Curry","South Indian","4"
"The Vintage Cafe",400,1,0,"Cafe","Delivery","Banashankari","Burgers, Caramel Milkshake, Iced Coffee, Iced Tea","Cafe, French, North Indian","3"
"Pizza Hut",750,1,0,"Casual Dining","Delivery","Banashankari","Supreme Pizza, Potato Wedges, Masala Lemonade, Tandoori Paneer, Exotic Garlic Bread","Pizza, Fast Food","4"
"Mangalore Pearl",650,1,0,"Casual Dining","Delivery","Banashankari","Neer Dosa, Sea Food, Ghee Rice, Marwai Sukka, Egg Biryani, Kori Roti, Thai Fish","Mangalorean, Seafood, Chinese, Biryani","4"
"Twiststick House",500,1,0,"Quick Bites","Delivery","Banashankari","White Pasta, Noodles, Babycorn Manchurian, Pizza, Veg Momos, Fry Momos, Tawa Pulav","Continental, Fast Food, Street Food, Momos","4"
"Cool Corner",250,1,0,"Quick Bites","Delivery","Banashankari","Masala Dosa, Sandwiches, Coffee, Onion Dosa, Rava Dosa, Chaat, Sandwich","Street Food, Fast Food","4"
"Pizza Mane",150,1,0,"Quick Bites","Delivery","Banashankari","French Fries, Burgers","Pizza, Sandwich, Burger, Fast Food","4"
"Dal Tadkaa",500,1,0,"Casual Dining","Delivery","Banashankari","Paratha, Boondi Raita, Roti, Kulfi, Panneer Butter Masala, Sweet Lassi, Dal Tadka","North Indian","3"
"Chutney Chang",1500,1,1,"Casual Dining","Delivery","Banashankari","Veg Momos, Brownie Chocolate, Palak Chaat, Mutton Biryani, Dahipuri, Fish, Sea Food","North Indian, Chinese, BBQ","4"
"Mystique Palate",300,1,0,"Quick Bites","Delivery","Banashankari","Noodles, Pasta, Schezwan Momos, Chicken Momo, Teriyaki Chicken, Thukpa, Fries","Chinese, Fast Food","4"
"Thamboola",800,1,0,"Casual Dining","Delivery","Banashankari","Spring Roll, Manchow Soup, Babycorn Manchurian, Mint Cooler, Roti, Panneer Butter Masala","North Indian, Chinese, Continental","4"
"Castle Rock",700,1,0,"Casual Dining","Delivery","Banashankari","Biryani","North Indian, Chinese","4"
"Vietnamese Kitchen",700,1,0,"Casual Dining","Delivery","Banashankari","Pho, Papaya Salad, Coffee, Veg Momos, Rolls","Vietnamese","4"
"Smacznego",550,1,0,"Cafe","Delivery","Banashankari","Waffles, Pasta, Coleslaw Sandwich, Choco Waffle, Tacos, Momos, Cheese Nachos","Cafe, Mexican, Italian, Momos, Beverages","4"
"Toscano",1300,1,1,"Casual Dining","Delivery","Banashankari","Pizza, Pasta, Salads, Calamari, Ravioli, Pumpkin Soup, Wine","Italian, Salad","4"
"Stoned Monkey",500,1,0,"Dessert Parlor","Delivery","Banashankari","Nachos, Cup Cake, Hot Chocolate Fudge, Salsa, Cheesy Garlic Bread, Waffles, Tiramisu","Desserts, Ice Cream","4"
"Central Jail Restaurant",700,1,0,"Casual Dining","Delivery","Banashankari","Lime Soda, Manchow Soup, Biryani, Lemon Chicken, Tomato Soup, Butter Naan, Chilli Chicken","Andhra, Seafood, North Indian, Chinese","4"
"Bella",1000,1,1,"Casual Dining","Delivery","Banashankari","Murgh Ghee Roast, Fish Fry, Ghee Roast Paneer, Neer Dosa, Appam, Sea Food, Chicken Sukha","Mangalorean, Seafood, South Indian","4"
"New Prashanth Hotel",750,1,0,"Casual Dining","Delivery","Banashankari","Ragi Mudde, Lemon Chicken, Chilli Chicken, Chicken Curry, Mutton Chops, Mutton Biryani","South Indian, Biryani, Chinese, North Indian","4"
"Karma Kaapi",250,1,0,"Beverage Shop","Delivery","Banashankari","Pasta, Potato Fries, Potato Wedges, Hot Chocolate, Chaat, Filter Coffee, Americano","Beverages, Tea","4"
"Tiwari's",200,1,0,"Quick Bites","Delivery","Banashankari","Sweet Lassi, Gulab Jamun, Palak Paneer Paratha, Paneer Parantha","North Indian, Street Food","4"
"Pizza Stop",600,1,0,"Quick Bites","Delivery","Banashankari","Pizza, White Sauce Pasta, Masala Garlic Bread","Pizza, Italian","4"
"Biggies Burger 'n' More",650,1,0,"Quick Bites","Delivery","Banashankari","Burgers, Fries, Mojito, Chicken Burger","Cafe, Burger, Beverages","4"
"Srinathji's Cafe",550,0,0,"Casual Dining, Cafe","Delivery","Banashankari","Paratha, Sandwich, Chilli Idli, Noodles, Sandwiches, Lime Soda","North Indian, Cafe, Chinese, Fast Food","4"
"Kollapuri's",450,0,0,"Quick Bites","Delivery","Banashankari","Chicken Biryani, Mutton Biryani, Egg Biryani, Chicken Fry, Mutton Fry","South Indian, Mangalorean","4"
"RS Shiv Sagar",450,0,0,"Casual Dining","Delivery","Banashankari","Chaat, Brownie, Onion Rings, Tomato Soup, Paneer Manchurian, Thali, Faluda","North Indian, Chinese, South Indian, Fast Food, Juices","4"
"Harshi Super Sandwich",150,0,0,"Quick Bites","Delivery","Banashankari","Sandwiches, Chocolate Sandwich, Chaat, Veg Cheese Sandwich, Chilli Cheese, Corn Sandwich","Fast Food, Street Food","4"
"Ugadi",700,1,0,"Casual Dining","Delivery","Banashankari","Prawn Biryani, Andhra Meal, Veg Thali, Fry Piece Biryani, Gongura Chicken, Paratha","North Indian, Chinese, Biryani, Andhra, Mangalorean","3"
"Subway",600,1,0,"Quick Bites","Delivery","Banashankari","Veggie Delight, Paneer Tikka, Salad","Salad, Fast Food","4"
"The Lassi Park",200,1,0,"Quick Bites","Delivery","Banashankari","Faluda, Brownie, Sandwich, Kulfi, Fruit Salad, Sweet Lassi, Chocolate Fudge","Juices, Desserts","4"
"A2B - Adyar Ananda Bhavan",400,1,0,"Casual Dining","Delivery","Banashankari","Pav Bhaji, Masala Dosa, Idli Vada, Filter Coffee, Pongal, Curd Rice, Kesari Bath","South Indian, North Indian, Chinese, Street Food","4"
"Srikrishna Bhavan",300,1,0,"Quick Bites","Delivery","Banashankari","Roti, Masala Dosa","South Indian, North Indian, Chinese","4"
"Timepass Dinner",600,1,0,"Casual Dining","Delivery","Banashankari","Onion Rings, Pasta, Kadhai Paneer, Salads, Salad, Roti, Jeera Rice","North Indian","4"
"Green Gardenia",700,1,0,"Casual Dining","Delivery","Banashankari","Masala Papad, Paneer Satay, Paneer Hyderabadi, Butter Naan, Roti","North Indian, Chinese","4"
"J Spice",750,1,0,"Casual Dining","Delivery","Banashankari","Stuffed Mushroom, Chicken Biryani, Jal-jeera","North Indian, Chinese","4"
"Hatti Kaapi",200,1,0,"Quick Bites","Delivery","Banashankari","Filter Coffee, Tea, Hot Coffee, Hatti Samosa","South Indian, Beverages","4"
"Upahara Darshini",600,1,0,"Casual Dining","Delivery","Banashankari","Masala Dosa","North Indian, Chinese, South Indian, Fast Food","4"
"The Chaat Shop",200,1,0,"Quick Bites","Delivery","Banashankari","Badam Milk, Potato Twister, Pav Bhaji, Panipuri, Tikki Chaat, Cheese Cutlet","Fast Food","3"
"My Tea House",600,1,0,"Quick Bites, Cafe","Delivery","Banashankari","Pasta, Iced Tea","Italian, Fast Food, Cafe, European","4"
"Samskruti - Sanman Gardenia",550,1,0,"Casual Dining","Delivery","Banashankari","Roti, Butter Kulcha, Fried Rice, Tomato Soup, Curd Rice, Lunch Buffet, Paneer Tikka","North Indian, Chinese, South Indian","4"
"Chumma Delicious",200,1,0,"Quick Bites","Delivery","Banashankari","Chicken Biryani","South Indian, Fast Food","4"
"New Prashanth Hotel",650,1,0,"Casual Dining","Delivery","Banashankari","Chicken Biryani, Ragi Mudde, Mutton Chops","Biryani, North Indian, Seafood, Andhra","4"
"Dwaraka Grand",500,1,0,"Casual Dining","Delivery","Banashankari","Masala Dosa, Coffee","South Indian, Chinese, Street Food, Juices","4"
"Gufha - The President Hotel",1200,1,1,"Casual Dining","Delivery","Banashankari","Cocktails, Paneer Tikka, Rasmalai, Rabri, Masala Papad, Vegetable Biryani, Chicken Curry","North Indian, Afghani, Mughlai","4"
"Cafe Vivacity",650,1,0,"Cafe","Delivery","Banashankari","Garlic Bread, Burgers, Sandwiches, Pizza, Hot Chocolate Fudge, Waffles, Potato Wedges","Cafe","4"
"Mojo Pizza - 2X Toppings",600,1,0,"Delivery","Delivery","Banashankari","Veggie Pizza, Garlic Bread, Lava Cake, Chocolava, Spicy Paneer","Pizza","4"
"South Kitchen",100,1,0,"Quick Bites","Delivery","Banashankari","Kharabath, Crispy Vada, Filter Coffee, Idli Vada, Idli Chutney, Kesari Bath, Gulab Jamun","South Indian","4"
"Chung Wah",850,1,0,"Casual Dining","Delivery","Banashankari","Noodles, Veg Momos, Chowmein, Schezwan Fried Rice, Clear Soup, Sweet Corn Soup, Chicken Wings","Chinese, Thai, Momos","4"
"Prems Graama Bhojanam",400,1,0,"Casual Dining","Delivery","Banashankari","Veg Thali, Matka Kulfi, Pongal, Buttermilk, Vada, Ragi Mudde, Curd Rice","South Indian","4"
"Java City",450,1,0,"Cafe","Delivery","Banashankari","Coffee, Sandwich, Hot Chocolate, Ice Tea, Sandwiches, Chicken Lasagne, Pizza","Cafe, American, Pizza","3"
"Kamat Bugle Rock",300,1,0,"Quick Bites","Delivery","Banashankari","Jowar Roti, Buttermilk, Jolada Rotti, Brinjal Curry, Coffee, Pongal, Vegetable Biryani","South Indian, Fast Food","4"
"Woodee Pizza",500,1,0,"Cafe","Delivery","Banashankari","Pizza, Garlic Bread","Cafe, Pizza, Fast Food, Beverages","4"
"Puliyogare Point",100,1,0,"Quick Bites","Delivery","Banashankari","Sweet Pongal, Mini Idlis, Filter Coffee, Open Masala Dosa, Pakoda, Vada, Raagi Dosa","South Indian","4"
"Bangalore Agarwal Bhavan",400,1,0,"Quick Bites","Delivery","Banashankari","Paratha, Coffee, Halwa, Lassi","Street Food, North Indian, South Indian","4"
"Rustic Stove",900,1,0,"Casual Dining","Delivery","Banashankari","Vegetable Biryani, Pineapple Rasam, Cheese Garlic Naan, Potato Cheese Ball, Bamboo Chicken Biryani, Chicken Skewer, Fish","North Indian, South Indian, Biryani, Beverages","4"
"De Thaali",550,1,0,"Casual Dining","Delivery","Banashankari","Malai Kofta, Sandwich, Naan","North Indian, Chinese, Rolls","4"
"Spice Elephant",800,1,0,"Casual Dining","Delivery","Banashankari","Momos, Lunch Buffet, Chocolate Nirvana, Thai Green Curry, Paneer Tikka, Dum Biryani, Chicken Biryani","Chinese, North Indian, Thai","4"
"Matru Sagar",250,1,0,"Quick Bites","Delivery","Banashankari","Coffee, Masala Dosa","South Indian, North Indian, Chinese","4"
"Sea Spice by 7 Star",1200,1,1,"Casual Dining","Delivery","Banashankari","Sea Food, Neer Dosa, Anjal Masala Fry, Coconut Pudding, Chicken Biryani, Roti, Fish Curry","Seafood, Biryani, Beverages, South Indian, North Indian, Kebab","4"
"Desi Dawat",400,1,0,"Quick Bites","Delivery","Banashankari","Tandoori Chicken, Rolls","North Indian, Fast Food","4"
