City Location,Type of Restaurant,Favorite Dish ,Popular Cuisine
Jayanagar,Delivery,Biryani + Chicken,Indian + Chinese
Jayanagar,Desserts,Chocolate + Coffee,Bakery + Ice Cream
Jayanagar,Dine-out,Chicken + Biryani,Indian + Chinese
Jayanagar,Drinks & Nightlife,Cocktails + Chicken,Indian + Continental
Jayanagar,Pubs & Bars,N/A,N/A
JP Nagar,Buffet,Chicken + Biryani,Indian + Chinese
JP Nagar,Cafes,Pizza + Chicken,Beverages + Italian
JP Nagar,Delivery,Chicken + Biryani,Indian + Chinese
JP Nagar,Desserts,Chocolate + Brownie,Bakery + Ice Cream
JP Nagar,Dine-out,Chicken + Biryani,Indian + Chinese
JP Nagar,Drinks & Nightlife,Cocktails + Chicken,Indian + Continental
JP Nagar,Pubs & Bars,N/A,N/A
Kalyan Nagar,Buffet,Chicken + Biryani,Indian + Chinese
Kalyan Nagar,Cafes,Pasta + Burgers,Continental + Italian
Kalyan Nagar,Delivery,Chicken + Biryani,Indian + Chinese
Kalyan Nagar,Desserts,Chocolate + Hot Chocolate,Bakery + Ice Cream
Kalyan Nagar,Dine-out,Chicken + Biryani,Indian + Chinese
Kalyan Nagar,Drinks & Nightlife,Beer + Chicken,Continental + Indian
Kalyan Nagar,Pubs & Bars,N/A,N/A
Kammanahalli,Buffet,N/A,N/A
Kammanahalli,Cafes,Burgers + Pasta,Continental + Italian
Kammanahalli,Delivery,Chicken + Biryani,Indian + Chinese
Kammanahalli,Desserts,Chocolate + Brownie,Bakery + Ice Cream
Kammanahalli,Dine-out,Chicken + Biryani,Indian + Chinese
Kammanahalli,Drinks & Nightlife,Beer + Chicken,Continental + Indian
Kammanahalli,Pubs & Bars,N/A,N/A
Koramangala 4th Block,Buffet,Chicken + Biryani,Indian + Chinese
Koramangala 4th Block,Cafes,Pasta + Chicken,Continental + Italian
Koramangala 4th Block,Delivery,Chicken + Biryani,Indian + Chinese
Koramangala 4th Block,Desserts,Chocolate + Waffles,Bakery + Beverages
Koramangala 4th Block,Dine-out,Chicken + Biryani,Indian + Chinese
Koramangala 4th Block,Drinks & Nightlife,Chicken + Cocktails,Indian + Continental
Koramangala 4th Block,Pubs & Bars,N/A,N/A
Koramangala 5th Block,Buffet,Chicken + Biryani,Indian + Chinese
Koramangala 5th Block,Cafes,Chicken + Pasta,Continental + Italian
Koramangala 5th Block,Delivery,Chicken + Biryani,Indian + Chinese
Koramangala 5th Block,Desserts,Chocolate + Waffles,Bakery + Beverages
Koramangala 5th Block,Dine-out,Chicken + Biryani,Indian + Chinese
Koramangala 5th Block,Drinks & Nightlife,Cocktails + Beer,Indian + Continental
Koramangala 5th Block,Pubs & Bars,Chicken + Beer,Indian + Continental
Koramangala 6th Block,Buffet,Chicken + Biryani,Indian + Chinese
Koramangala 6th Block,Cafes,Chicken + Pasta,Continental + Italian
Koramangala 6th Block,Delivery,Chicken + Biryani,N/A
Koramangala 6th Block,Desserts,Chocolate + Waffles,Bakery + Beverages
Koramangala 6th Block,Dine-out,Chicken + Biryani,Indian + Chinese
Koramangala 6th Block,Drinks & Nightlife,Chicken + Cocktails,Indian + Continental
Koramangala 6th Block,Pubs & Bars,N/A,N/A
Koramangala 7th Block,Buffet,Chicken + Biryani,Indian + Chinese
Koramangala 7th Block,Cafes,Chicken + Pasta,Continental + Beverages
Koramangala 7th Block,Delivery,Chicken + Biryani,Indian + Chinese
Koramangala 7th Block,Desserts,Chocolate + Ice Cream,Bakery + Beverages
Koramangala 7th Block,Dine-out,Chicken + Biryani,Indian + Chinese
Koramangala 7th Block,Drinks & Nightlife,Chicken + Cocktails,Indian + Continental
Koramangala 7th Block,Pubs & Bars,Chicken + Beer,Indian + Continental
Lavelle Road,Buffet,Salads + Biryani,Indian + Chinese
Lavelle Road,Cafes,Pasta + Pizza,Continental + Italian
Lavelle Road,Delivery,Chicken + Biryani,Indian + Chinese
Lavelle Road,Desserts,Chocolate + Ice Cream,Bakery + Beverages
Lavelle Road,Dine-out,Chicken + Biryani,Indian + Chinese
Lavelle Road,Drinks & Nightlife,Cocktails + Chicken,Indian + Chinese
Lavelle Road,Pubs & Bars,N/A,N/A
Malleshwaram,Buffet,Salads + Biryani,Indian + Chinese
Malleshwaram,Cafes,Peri Peri Chicken + Pasta,Italian + Continental
Malleshwaram,Delivery,Chicken + Biryani,Indian + Chinese
Malleshwaram,Desserts,Cake + Chocolate,Bakery + Ice Cream
Malleshwaram,Dine-out,Chicken + Biryani,Indian + Chinese
Malleshwaram,Drinks & Nightlife,Cocktails + Chicken,Indian + Finger Food
Malleshwaram,Pubs & Bars,Cocktails + Chicken,Indian + Finger Food
Marathahalli,Buffet,Cocktails + Chicken,Indian + Continental
Marathahalli,Cafes,Pizza + Coffee,Beverages + Italian
Marathahalli,Delivery,Chicken + Biryani,Indian + Chinese
Marathahalli,Desserts,Chocolate + Brownie,Bakery + Ice Cream
Marathahalli,Dine-out,Chicken + Biryani,Indian + Chinese
Marathahalli,Drinks & Nightlife,Cocktails + Chicken,Indian + Continental
Marathahalli,Pubs & Bars,N/A,N/A
MG Road,Buffet,Salads + Biryani,Indian + Chinese
MG Road,Cafes,Pasta + Pizza,Continental + Italian
MG Road,Delivery,Chicken + Biryani,Indian + Chinese
MG Road,Desserts,Chocolate + Ice Cream,Bakery + Beverages
MG Road,Dine-out,Chicken + Biryani,Indian + Chinese
MG Road,Drinks & Nightlife,Cocktails + Chicken,Indian + Continental
MG Road,Pubs & Bars,Cocktails + Chicken,Indian + Continental
New BEL Road,Buffet,Chicken + Pasta,Indian + Continental
New BEL Road,Cafes,Pasta + Chicken,Continental + Italian
New BEL Road,Delivery,Chicken + Biryani,Indian + Chinese
New BEL Road,Desserts,Chocolate + Waffles,Ice Cream  + Bakery
New BEL Road,Dine-out,Chicken + Biryani,Indian + Chinese
New BEL Road,Drinks & Nightlife,Beer + Chicken,Continental + Indian
New BEL Road,Pubs & Bars,Chicken + Beer,Indian + Continental
Old Airport Road,Buffet,Chicken + Mocktails,Indian + Chinese
Old Airport Road,Cafes,Hot Chocolate + Sandwich,Continental + Italian
Old Airport Road,Delivery,Chicken + Biryani,Indian + Chinese
Old Airport Road,Desserts,Chocolate + Cake,Bakery + Beverages
Old Airport Road,Dine-out,Chicken + Biryani,Indian + Chinese
Old Airport Road,Drinks & Nightlife,Chicken + Cocktails,Continental + Indian
Old Airport Road,Pubs & Bars,Chicken + Cocktails,Indian + Continental
Rajajinagar,Buffet,Chicken + Biryani,Indian + Continental
Rajajinagar,Cafes,Pasta + Coffee,Indian + Continental
Rajajinagar,Delivery,Chicken + Biryani,Indian + Chinese
Rajajinagar,Desserts,Cake + Chocolate,Ice Cream  + Bakery
Rajajinagar,Dine-out,Masala Dosa + Pizza,Indian + Chinese
Rajajinagar,Drinks & Nightlife,Chicken + Cocktails,Indian + Chinese
Rajajinagar,Pubs & Bars,Chicken + Cocktails,Indian + Chinese
Residency Road,Buffet,Salads + Biryani,Indian + Chinese
Residency Road,Cafes,Pasta + Pizza,Continental + Italian
Residency Road,Delivery,Chicken + Biryani,Indian + Chinese
Residency Road,Desserts,Chocolate + Ice Cream,Bakery + Beverages
Residency Road,Dine-out,Chicken + Biryani,Indian + Chinese
Residency Road,Drinks & Nightlife,Cocktails + Chicken,Indian + Continental
Residency Road,Pubs & Bars,N/A,N/A
Sarjapur Road,Buffet,Chicken + Biryani,Indian + Continental
Sarjapur Road,Cafes,Chicken + Burger,Burger + Pizza
Sarjapur Road,Delivery,Chicken + Biryani,Indian + Chinese
Sarjapur Road,Desserts,Chocolate + Cake,Bakery + Ice Cream
Sarjapur Road,Dine-out,Chicken + Biryani,Indian + Chinese
Sarjapur Road,Drinks & Nightlife,Cocktails + Beer,Indian + Continental
Sarjapur Road,Pubs & Bars,Cocktails + Beer,Indian + Continental
Whitefield,Buffet,N/A,Continental + Italian
Whitefield,Cafes,Pizza + Pasta,Indian + Chinese
Whitefield,Delivery,Chicken + Biryani,Bakery + Ice Cream
Whitefield,Desserts,Chocolate + Cake,Bakery + Ice Cream
Whitefield,Dine-out,Chicken + Biryani,Indian + Continental
Whitefield,Drinks & Nightlife,Cocktails + Beer,Indian + Continental
Whitefield,Pubs & Bars,Beer + Cocktails,N/A
